;;Company Info;;KEY FINANCIALS;;;;;
722;Red Hat;13.360;54 ;3.362 US$;15,1%;US$434,0 ;67,7%;5.588 US$;-
723;Synopsys;13.896;17 ;3.361 US$;7,7%;US$532,4 ;23,1%;6.405 US$;19.348 US$
724;PolyOne;5.600;-43 ;3.352 US$;-5,1%;US$588,6 ;268,3%;3.273 US$;1.752 US$
725;Dycom Industries;15.230;13 ;3.340 US$;6,8%;US$57,2 ;-9,0%;2.218 US$;810 US$
726;Cabot;4.500;-6 ;3.337 US$;2,9%;US$157,0 ;-;3.004 US$;1.481 US$
727;Prologis;1.712;72 ;3.331 US$;18,8%;US$1.573,0 ;-4,6%;40.032 US$;59.401 US$
728;Boyd Gaming;24.300;106 ;3.326 US$;26,6%;US$157,6 ;37,0%;6.650 US$;1.609 US$
729;LSC Communications;20.000;-80 ;3.326 US$;-13,1%;-US$295,0 ;-;1.649 US$;3 US$
730;Brown-Forman;4.700;-11 ;3.324 US$;2,3%;US$835,0 ;16,5%;5.139 US$;25.843 US$
731;Stericycle;19.500;-43 ;3.309 US$;-5,1%;-US$346,8 ;-;6.437 US$;4.434 US$
732;CIT Group;3.609;-19 ;3.296 US$;-0,4%;US$529,9 ;18,5%;50.833 US$;1.692 US$
733;MDC Holdings;1.656;15 ;3.293 US$;7,4%;US$238,3 ;13,1%;3.338 US$;1.463 US$
734;Hyster-Yale Materials Handling;7.900;-1 ;3.292 US$;3,7%;US$35,8 ;3,2%;1.847 US$;673 US$
735;Crane;13.000;-29 ;3.283 US$;-1,9%;US$133,3 ;-60,3%;4.424 US$;2.911 US$
736;Cinemark Holdings;22.603;-12 ;3.283 US$;1,9%;US$191,4 ;-10,5%;5.828 US$;1.194 US$
737;Autodesk;10.100;107 ;3.274 US$;27,4%;US$214,5 ;-;6.179 US$;34.267 US$
738;Trimble;11.484;5 ;3.264 US$;5,0%;US$514,3 ;81,9%;6.641 US$;7.963 US$
739;Garrett Motion;7.400;-;3.248 US$;-;US$313,0 ;-;2.275 US$;214 US$
740;Zions Bancorp.;10.188;20 ;3.245 US$;7,0%;US$816,0 ;-7,7%;69.172 US$;4.389 US$
741;Regal Beloit;19.560;-71 ;3.238 US$;-11,2%;US$238,9 ;3,3%;4.431 US$;2.559 US$
742;Service Corp. International;20.457;-12 ;3.231 US$;1,3%;US$369,6 ;-17,4%;13.677 US$;7.084 US$
743;Varian Medical Systems;10.062;34 ;3.225 US$;10,5%;US$291,9 ;94,7%;4.102 US$;9.308 US$
744;PriceSmart;9.000;-10 ;3.224 US$;1,8%;US$73,2 ;-1,5%;1.296 US$;1.609 US$
745;Brinker International;56.147;-8 ;3.218 US$;2,6%;US$154,9 ;23,1%;1.258 US$;449 US$
746;Digital Realty Trust;1.550;7 ;3.209 US$;5,3%;US$579,8 ;75,0%;23.068 US$;36.017 US$
747;Pool;4.500;17 ;3.200 US$;6,7%;US$261,6 ;11,6%;1.483 US$;7.921 US$
748;Crestwood Equity Partners;894;-80 ;3.182 US$;-12,9%;US$285,1 ;461,2%;5.349 US$;308 US$
749;Infor;17.380;-8 ;3.171 US$;1,7%;US$142,0 ;-;6.753 US$;-
750;Plexus;19.000;34 ;3.164 US$;10,1%;US$108,6 ;732,9%;2.001 US$;1.602 US$
751;Teledyne Technologies;11.790;31 ;3.164 US$;9,0%;US$402,3 ;20,5%;4.580 US$;10.893 US$
752;G-III Apparel Group;6.050;-6 ;3.161 US$;2,7%;US$143,8 ;4,2%;2.565 US$;370 US$
753;Scotts Miracle-Gro;5.850;76 ;3.156 US$;18,5%;US$460,7 ;623,2%;3.029 US$;5.693 US$
754;Apollo Global Management;1.421;-;3.145 US$;223,5%;US$843,2 ;-;8.542 US$;7.739 US$
755;E*Trade Financial;4.122;3 ;3.145 US$;3,6%;US$955,0 ;-9,2%;61.416 US$;7.586 US$
756;Toro;9.329;79 ;3.138 US$;19,8%;US$274,0 ;0,8%;2.331 US$;6.963 US$
757;Southwest Gas Holdings;8.944;26 ;3.120 US$;8,3%;US$213,9 ;17,4%;8.170 US$;3.834 US$
758;GMS;5.858;94 ;3.116 US$;24,1%;US$56,0 ;-11,1%;2.150 US$;666 US$
759;Cooper-Standard Holdings;28.000;-87 ;3.108 US$;-14,2%;US$67,5 ;-34,8%;2.636 US$;173 US$
760;Acadia Healthcare;35.600;3 ;3.108 US$;3,2%;US$108,9 ;-;6.879 US$;1.629 US$
761;Tetra Tech;20.000;12 ;3.107 US$;4,8%;US$158,7 ;15,9%;2.147 US$;3.862 US$
762;Primoris Services;9.700;12 ;3.106 US$;5,7%;US$82,3 ;6,3%;1.831 US$;767 US$
763;Tempur Sealy International;7.400;48 ;3.106 US$;13,6%;US$189,5 ;88,6%;3.062 US$;2.277 US$
764;H&R Block;44.600;-29 ;3.095 US$;-2,1%;US$422,5 ;-31,1%;3.300 US$;2.710 US$
765;Qorvo;8.100;3 ;3.090 US$;3,9%;US$133,1 ;-;5.808 US$;9.328 US$
766;TRI Pointe Group;1.386;-49 ;3.083 US$;-5,5%;US$207,2 ;-23,2%;3.859 US$;1.177 US$
767;Cracker Barrel Old Country Store;73.000;-6 ;3.072 US$;1,4%;US$223,4 ;-9,8%;1.581 US$;1.993 US$
768;Elanco Animal Health;6.080;-;3.071 US$;-;US$67,9 ;-;8.986 US$;8.923 US$
769;PRA Health Sciences;17.500;16 ;3.066 US$;6,8%;US$243,0 ;57,9%;3.544 US$;5.278 US$
770;First Solar;6.600;150 ;3.063 US$;36,5%;-US$114,9 ;-179,6%;7.516 US$;3.803 US$
771;AMC Networks;2.588;-2 ;3.060 US$;3,0%;US$380,5 ;-14,7%;5.597 US$;1.351 US$
772;Xilinx;4.433;76 ;3.059 US$;20,5%;US$889,8 ;73,7%;5.151 US$;19.394 US$
773;Green Plains;820;-129 ;3.055 US$;-20,5%;-US$166,9 ;-1147,9%;1.698 US$;170 US$
774;Columbia Sportswear;8.900;26 ;3.043 US$;8,6%;US$330,5 ;23,2%;2.932 US$;4.703 US$
775;Nexstar Media Group;14.891;29 ;3.039 US$;9,9%;US$230,3 ;-40,9%;13.990 US$;2.648 US$
776;Southwestern Energy;923;-134 ;3.038 US$;-21,3%;US$891,0 ;65,9%;6.717 US$;914 US$
777;Greenbrier;17.100;74 ;3.034 US$;20,4%;US$71,1 ;-53,2%;2.991 US$;578 US$
778;Presidio;2.900;10 ;3.026 US$;5,9%;US$35,2 ;-73,8%;2.871 US$;-
779;Citrix Systems;8.400;-12 ;3.011 US$;1,2%;US$681,8 ;18,4%;4.389 US$;17.320 US$
780;Mettler-Toledo International;15.525;-5 ;3.009 US$;2,5%;US$561,1 ;9,5%;2.789 US$;16.559 US$
781;Trinity Industries;11.875;73 ;3.005 US$;19,8%;US$137,6 ;-13,6%;8.701 US$;1.924 US$
782;Mutual of America Life Insurance;1.202;-27 ;3.005 US$;-1,3%;-US$21,2 ;-232,5%;23.658 US$;-
783;Lincoln Electric Holdings;11.000;-21 ;3.003 US$;-0,8%;US$293,1 ;2,1%;2.371 US$;4.151 US$
784;Tailored Brands;16.500;-63 ;2.999 US$;-7,4%;-US$82,3 ;-198,8%;2.419 US$;84 US$
785;A.O. Smith;15.100;-54 ;2.993 US$;-6,1%;US$370,0 ;-16,7%;3.058 US$;6.125 US$
786;ArcBest;13.000;-41 ;2.988 US$;-3,4%;US$40,0 ;-40,6%;1.651 US$;444 US$
787;GoDaddy;7.024;44 ;2.988 US$;12,3%;US$137,0 ;77,7%;6.301 US$;9.988 US$
788;SkyWest;13.700;-63 ;2.972 US$;-7,8%;US$340,1 ;21,3%;6.657 US$;1.316 US$
789;Boston Properties;760;24 ;2.961 US$;9,0%;US$521,5 ;-10,5%;21.285 US$;14.307 US$
790;Enable Midstream Partners;1.735;-97 ;2.960 US$;-13,7%;US$396,0 ;-24,0%;12.266 US$;1.119 US$
791;Middleby;9.778;21 ;2.959 US$;8,7%;US$352,2 ;11,1%;5.002 US$;3.196 US$
792;NOW;4.300;-53 ;2.951 US$;-5,6%;-US$97,0 ;-286,5%;1.591 US$;564 US$
793;Unisys;20.800;3 ;2.949 US$;4,4%;-US$17,2 ;-122,8%;2.504 US$;777 US$
794;Visteon;11.000;-28 ;2.945 US$;-1,3%;US$70,0 ;-57,3%;2.271 US$;1.344 US$
795;Graham Holdings;15.902;26 ;2.932 US$;8,8%;US$327,9 ;20,9%;5.931 US$;1.791 US$
796;Resolute Forest Products;6.700;-140 ;2.923 US$;-22,2%;-US$47,0 ;-120,0%;3.626 US$;109 US$
797;Caleres;11.400;-4 ;2.922 US$;3,1%;US$62,8 ;-;2.432 US$;208 US$
798;AGNC Investment;51;-;2.920 US$;108,3%;US$688,0 ;433,3%;113.082 US$;5.723 US$
799;Hill-Rom Holdings;10.000;-9 ;2.907 US$;2,1%;US$152,2 ;-39,7%;4.919 US$;6.739 US$
800;Moog;12.809;18 ;2.905 US$;7,2%;US$179,7 ;86,3%;3.114 US$;1.713 US$
801;Legg Mason;3.246;-65 ;2.903 US$;-7,5%;-US$28,5 ;-110,0%;7.794 US$;4.245 US$
802;Atmos Energy;4.776;-60 ;2.902 US$;-6,9%;US$511,4 ;-15,2%;13.368 US$;12.133 US$
803;Woodward;9.023;95 ;2.900 US$;24,7%;US$259,6 ;43,9%;3.957 US$;3.698 US$
804;Palo Alto Networks;7.014;108 ;2.900 US$;27,6%;-US$81,9 ;-;6.592 US$;16.348 US$
805;H.B. Fuller;6.369;-48 ;2.897 US$;-4,7%;US$130,8 ;-23,6%;3.986 US$;1.436 US$
806;Akamai Technologies;7.724;9 ;2.894 US$;6,6%;US$478,0 ;60,2%;7.007 US$;14.811 US$
807;Avaya Holdings;7.900;-18 ;2.887 US$;1,3%;-US$671,0 ;-;6.950 US$;771 US$
808;Maximus;29.600;70 ;2.887 US$;20,7%;US$240,8 ;9,1%;1.746 US$;3.722 US$
809;PerkinElmer;13.000;-7 ;2.884 US$;3,8%;US$227,6 ;-4,4%;6.539 US$;8.379 US$
810;Hawaiian Electric Industries;3.841;-23 ;2.875 US$;0,5%;US$217,9 ;8,0%;13.745 US$;4.699 US$
811;Kansas City Southern;7.040;5 ;2.866 US$;5,6%;US$538,9 ;-14,1%;9.787 US$;12.229 US$
812;AptarGroup;14.000;-7 ;2.860 US$;3,4%;US$242,2 ;24,4%;3.562 US$;6.475 US$
813;Public Storage;5.900;-6 ;2.847 US$;3,4%;US$1.520,5 ;-11,1%;11.365 US$;34.685 US$
814;Selective Insurance Group;2.400;25 ;2.847 US$;10,1%;US$271,6 ;51,8%;8.797 US$;2.968 US$
815;ITT;10.500;-7 ;2.846 US$;3,7%;US$325,1 ;-2,6%;4.108 US$;3.993 US$
816;Donaldson;14.100;-6 ;2.845 US$;4,0%;US$267,2 ;48,2%;2.143 US$;4.897 US$
817;Park Hotels & Resorts;488;-8 ;2.844 US$;3,9%;US$306,0 ;-35,2%;11.290 US$;1.898 US$
818;Kirby;5.550;-48 ;2.838 US$;-4,5%;US$142,3 ;81,4%;6.079 US$;2.608 US$
819;Hawaiian Holdings;7.437;-27 ;2.832 US$;-0,2%;US$224,0 ;-4,0%;4.127 US$;480 US$
820;Popular;8.560;7 ;2.831 US$;5,8%;US$671,1 ;8,6%;52.115 US$;3.103 US$
821;Range Resources;655;-105 ;2.828 US$;-13,9%;-US$1.716,3 ;-;6.612 US$;581 US$
822;PC Connection;2.609;-2 ;2.820 US$;4,5%;US$82,1 ;27,1%;937 US$;1.086 US$
823;Amica Mutual Insurance;3.983;-;2.809 US$;4,4%;US$173,3 ;17,8%;6.383 US$;-
824;EnerSys;11.000;17 ;2.808 US$;8,8%;US$160,2 ;34,0%;3.118 US$;2.095 US$
825;Helmerich & Payne;8.502;34 ;2.799 US$;12,5%;-US$33,7 ;-107,0%;5.840 US$;1.704 US$
826;NLV Financial;1.278;-;2.772 US$;45,5%;US$223,5 ;49,0%;35.766 US$;-
827;Valmont Industries;9.862;-21 ;2.767 US$;0,4%;US$153,8 ;63,0%;2.763 US$;2.281 US$
828;PAE;20.000;-;2.764 US$;6,0%;-US$49,8 ;-;1.371 US$;597 US$
829;Texas Roadhouse;35.554;39 ;2.756 US$;12,2%;US$174,5 ;10,3%;1.984 US$;2.867 US$
830;Cooper Tire & Rubber;8.720;-32 ;2.753 US$;-2,0%;US$96,4 ;25,9%;2.802 US$;819 US$
831;Euronet Worldwide;7.700;18 ;2.750 US$;8,4%;US$346,7 ;48,9%;4.658 US$;4.588 US$
832;Zillow Group;5.249;-;2.743 US$;105,7%;-US$305,4 ;-;6.132 US$;7.411 US$
833;Atlas Air Worldwide Holdings;3.587;-7 ;2.739 US$;2,3%;-US$293,1 ;-208,3%;5.386 US$;666 US$
834;Energizer Holdings;7.500;-;2.730 US$;51,8%;US$51,1 ;-45,3%;5.450 US$;2.100 US$
835;Magellan Midstream Partners;1.884;-40 ;2.728 US$;-3,5%;US$1.020,8 ;-23,5%;8.438 US$;8.310 US$
836;Hain Celestial Group;5.441;-64 ;2.711 US$;-8,7%;-US$183,3 ;-1991,0%;2.583 US$;2.711 US$
837;Univision Communications;4.500;-36 ;2.704 US$;-3,2%;US$286,8 ;5875,0%;9.321 US$;-
838;Equity Residential;2.700;4 ;2.701 US$;4,8%;US$970,4 ;47,6%;21.173 US$;22.955 US$
839;Allison Transmission Holdings;3.700;-22 ;2.698 US$;-0,6%;US$604,0 ;-5,5%;4.450 US$;3.819 US$
840;Colony Capital;400;-12 ;2.690 US$;0,9%;-US$1.048,8 ;-;19.832 US$;853 US$
841;TTM Technologies;25.700;-50 ;2.689 US$;-5,5%;US$41,3 ;-76,2%;3.561 US$;1.096 US$
842;Clear Channel Outdoor Holdings;5.900;-;2.684 US$;-1,4%;-US$363,3 ;-;6.393 US$;299 US$
843;Guess;15.800;-7 ;2.678 US$;2,6%;US$96,0 ;580,7%;2.429 US$;444 US$
844;Rent-A-Center;14.500;-14 ;2.670 US$;0,4%;US$173,5 ;1943,6%;1.583 US$;781 US$
845;Take-Two Interactive Software;4.894;-;2.668 US$;48,8%;US$333,8 ;92,4%;4.243 US$;13.453 US$
846;Vishay Intertechnology;22.400;-87 ;2.668 US$;-12,1%;US$163,9 ;-52,6%;3.121 US$;2.084 US$
847;TransUnion;8.000;54 ;2.656 US$;14,6%;US$346,9 ;25,4%;7.113 US$;12.560 US$
848;Cooper;12.000;2 ;2.653 US$;4,8%;US$466,7 ;233,6%;6.275 US$;14.702 US$
849;FleetCor Technologies;8.700;23 ;2.649 US$;8,8%;US$895,1 ;10,3%;12.249 US$;15.936 US$
850;RH;4.750;6 ;2.647 US$;5,7%;US$220,4 ;46,3%;2.446 US$;1.933 US$
851;Renewable Energy Group;829;28 ;2.643 US$;10,6%;US$380,1 ;30,0%;1.785 US$;801 US$
852;BlueLinx Holdings;2.189;-66 ;2.637 US$;-7,9%;-US$17,7 ;-;971 US$;46 US$
853;California Resources;1.250;-104 ;2.634 US$;-14,0%;-US$28,0 ;-108,5%;6.958 US$;49 US$
854;TopBuild;10.400;28 ;2.624 US$;10,1%;US$191,0 ;41,7%;2.604 US$;2.400 US$
855;Charles River Laboratories International;17.100;61 ;2.621 US$;15,7%;US$252,0 ;11,3%;4.693 US$;6.246 US$
856;Comfort Systems USA;12.000;78 ;2.615 US$;19,8%;US$114,3 ;1,3%;1.505 US$;1.338 US$
857;Verisk Analytics;9.180;20 ;2.607 US$;8,9%;US$449,9 ;-24,9%;7.055 US$;22.730 US$
858;ResMed;7.240;36 ;2.607 US$;11,4%;US$404,6 ;28,2%;4.108 US$;21.301 US$
859;Teleflex;14.400;11 ;2.595 US$;6,0%;US$461,5 ;129,8%;6.310 US$;13.580 US$
860;New Jersey Resources;1.108;-81 ;2.592 US$;-11,1%;US$169,5 ;-27,4%;4.373 US$;3.247 US$
861;New Residential Investment;3.387;61 ;2.586 US$;15,6%;US$563,3 ;-41,6%;44.864 US$;2.082 US$
862;Interactive Brokers Group;1.643;26 ;2.580 US$;9,0%;US$161,0 ;-4,7%;71.676 US$;3.313 US$
863;Zayo Group Holdings;3.781;-25 ;2.578 US$;-1,0%;US$150,0 ;47,2%;9.335 US$;-
864;Herman Miller;8.000;20 ;2.567 US$;7,8%;US$160,5 ;25,3%;1.569 US$;1.311 US$
865;Grocery Outlet Holding;765;-;2.560 US$;11,9%;US$15,4 ;-2,8%;2.186 US$;3.087 US$
866;J.Crew Group;9.400;-6 ;2.540 US$;2,3%;-US$78,8 ;-;1.599 US$;-
867;Century Communities;1.460;78 ;2.536 US$;18,1%;US$113,0 ;17,1%;2.500 US$;483 US$
868;Eldorado Resorts;15.500;103 ;2.528 US$;23,0%;US$81,0 ;-14,9%;5.641 US$;1.120 US$
869;Catalent;12.300;-4 ;2.518 US$;2,2%;US$137,4 ;64,4%;6.184 US$;8.045 US$
870;Itron;7.300;16 ;2.503 US$;5,3%;US$49,0 ;-;2.708 US$;2.242 US$
871;M/I Homes;1.401;36 ;2.500 US$;9,4%;US$127,6 ;18,5%;2.106 US$;472 US$
872;Cboe Global Markets;823;-69 ;2.496 US$;-9,8%;US$374,9 ;-12,1%;5.114 US$;9.856 US$
873;IDEX;7.439;-11 ;2.495 US$;0,4%;US$425,5 ;3,6%;3.814 US$;10.529 US$
874;Belden;7.000;-34 ;2.492 US$;-3,6%;-US$377,0 ;-334,3%;3.407 US$;1.640 US$
875;Curtiss-Wright;9.100;1 ;2.488 US$;3,2%;US$307,6 ;11,5%;3.764 US$;3.929 US$
876;Cheesecake Factory;46.250;20 ;2.483 US$;6,4%;US$127,3 ;28,5%;2.841 US$;768 US$
877;Genesis Energy;2.177;-97 ;2.481 US$;-14,8%;US$96,0 ;-;6.598 US$;481 US$
878;GEO Group;22.000;19 ;2.478 US$;6,3%;US$166,6 ;14,8%;4.318 US$;1.474 US$
879;Patterson-UTI Energy;5.800;-170 ;2.471 US$;-25,7%;-US$425,7 ;-;4.440 US$;452 US$
880;Werner Enterprises;12.736;-13 ;2.464 US$;0,2%;US$166,9 ;-0,7%;2.144 US$;2.515 US$
881;Ingersoll Rand;6.600;-59 ;2.452 US$;-8,8%;US$159,1 ;-40,9%;4.628 US$;10.306 US$
882;Verso;3.700;-58 ;2.444 US$;-8,9%;US$96,0 ;-43,9%;1.721 US$;397 US$
883;Mueller Industries;4.964;-28 ;2.431 US$;-3,1%;US$101,0 ;-3,3%;1.371 US$;1.365 US$
884;Nu Skin Enterprises;24.900;-59 ;2.420 US$;-9,7%;US$173,6 ;42,4%;1.769 US$;1.214 US$
885;Revlon;7.100;-39 ;2.420 US$;-5,7%;-US$157,7 ;-;2.981 US$;580 US$
886;Arista Networks;2.300;57 ;2.411 US$;12,1%;US$859,9 ;162,1%;4.185 US$;15.491 US$
887;IDEXX Laboratories;9.200;42 ;2.407 US$;8,8%;US$427,7 ;13,4%;1.833 US$;20.645 US$
888;Align Technology;14.530;107 ;2.407 US$;22,4%;US$442,8 ;10,6%;2.501 US$;13.699 US$
889;Waters;7.467;-14 ;2.407 US$;-0,6%;US$592,2 ;-0,3%;2.557 US$;11.316 US$
890;Synovus Financial;5.389;-;2.407 US$;48,1%;US$563,8 ;31,6%;48.203 US$;2.586 US$
891;BrightView Holdings;21.978;-1 ;2.405 US$;2,2%;US$44,4 ;-;2.929 US$;1.160 US$
892;REV Group;8.040;-9 ;2.404 US$;0,9%;-US$12,3 ;-194,6%;1.347 US$;264 US$
893;Brown & Brown;10.083;88 ;2.392 US$;18,8%;US$398,5 ;15,8%;7.623 US$;10.269 US$
894;Valvoline;7.900;14 ;2.390 US$;4,6%;US$208,0 ;25,3%;2.064 US$;2.467 US$
895;Knights of Columbus;772;5 ;2.388 US$;3,0%;US$148,3 ;83,8%;26.861 US$;-
896;Central Garden & Pet;5.550;32 ;2.383 US$;7,6%;US$92,8 ;-24,9%;2.025 US$;1.441 US$
897;Carpenter Technology;5.100;43 ;2.380 US$;10,3%;US$167,0 ;-11,4%;3.188 US$;932 US$
898;SLM;1.900;-;2.380 US$;26,4%;US$578,3 ;18,6%;32.687 US$;3.039 US$
899;Kennametal;10.395;-12 ;2.375 US$;0,3%;US$241,9 ;20,9%;2.656 US$;1.544 US$
900;LCI Industries;10.500;-36 ;2.372 US$;-4,2%;US$146,5 ;-1,4%;1.863 US$;1.674 US$
901;TrueBlue;6.200;-43 ;2.369 US$;-5,2%;US$63,1 ;-4,1%;1.136 US$;493 US$
902;Cimarex Energy;987;-7 ;2.363 US$;1,0%;-US$124,6 ;-115,7%;7.140 US$;1.719 US$
903;Splunk;5.800;-;2.359 US$;30,8%;-US$336,7 ;-;5.440 US$;20.023 US$
904;SiteOne Landscape Supply;4.416;51 ;2.358 US$;11,6%;US$77,7 ;5,1%;1.443 US$;3.077 US$
905;Hexcel;6.977;27 ;2.356 US$;7,6%;US$306,6 ;10,8%;3.129 US$;3.100 US$
906;FTI Consulting;5.567;72 ;2.353 US$;16,0%;US$216,7 ;43,9%;2.783 US$;4.491 US$
907;Party City Holdco;14.350;-34 ;2.349 US$;-3,2%;-US$532,5 ;-532,0%;3.595 US$;43 US$
908;Ohio National Mutual;1.109;-28 ;2.341 US$;-2,0%;-US$67,6 ;-193,1%;40.367 US$;-
909;Patrick Industries;7.500;8 ;2.337 US$;3,3%;US$89,6 ;-25,3%;1.471 US$;673 US$
910;Cadence Design Systems;8.078;38 ;2.336 US$;9,3%;US$989,0 ;186,0%;3.357 US$;18.546 US$
911;CDK Global;9.000;-;2.333 US$;2,6%;US$124,0 ;-67,4%;2.999 US$;3.991 US$
912;AvalonBay Communities;3.122;-3 ;2.325 US$;1,8%;US$786,0 ;-19,3%;19.121 US$;20.712 US$
913;Wabash National;6.900;2 ;2.319 US$;2,3%;US$89,6 ;29,0%;1.305 US$;382 US$
914;Service Properties Trust;600;-10 ;2.316 US$;0,9%;US$259,8 ;39,9%;9.034 US$;889 US$
915;Maxim Integrated Products;7.131;-52 ;2.314 US$;-6,7%;US$827,5 ;77,1%;3.744 US$;13.095 US$
916;People's United Financial;6.305;-;2.312 US$;20,3%;US$520,4 ;11,2%;58.590 US$;4.793 US$
917;Bio-Rad Laboratories;8.120;-11 ;2.312 US$;1,0%;US$1.758,7 ;381,0%;8.009 US$;10.491 US$
918;Option Care Health;5.492;-;2.310 US$;15,5%;-US$75,9 ;-;2.590 US$;1.673 US$
919;Louisiana-Pacific;4.800;-125 ;2.310 US$;-18,3%;-US$5,0 ;-101,3%;1.835 US$;1.925 US$
920;TEGNA;6.883;10 ;2.300 US$;4,2%;US$286,2 ;-29,4%;6.954 US$;2.371 US$
921;Teradyne;5.400;39 ;2.295 US$;9,2%;US$467,5 ;3,5%;2.787 US$;9.026 US$
922;Arch Resources;3.700;-53 ;2.294 US$;-6,4%;US$233,8 ;-25,2%;1.868 US$;438 US$
923;EPAM Systems;36.739;-;2.294 US$;24,5%;US$261,1 ;8,7%;2.244 US$;10.259 US$
924;WPX Energy;590;-43 ;2.292 US$;-3,9%;US$256,0 ;69,5%;8.413 US$;1.706 US$
925;Contura Energy;4.360;52 ;2.291 US$;12,7%;-US$316,3 ;-205,7%;2.303 US$;43 US$
926;Ensign Group;24.500;48 ;2.286 US$;12,0%;US$110,5 ;19,7%;2.362 US$;2.013 US$
927;First Horizon National;4.994;-13 ;2.278 US$;0,4%;US$440,9 ;-19,1%;43.311 US$;2.513 US$
928;Wolverine World Wide;4.000;-7 ;2.274 US$;1,5%;US$128,5 ;-35,8%;2.480 US$;1.232 US$
929;Vail Resorts;23.000;54 ;2.272 US$;12,9%;US$301,2 ;-20,7%;4.426 US$;5.948 US$
930;Benchmark Electronics;10.600;-85 ;2.268 US$;-11,6%;US$23,4 ;2,7%;1.760 US$;728 US$
931;HNI;8.450;-13 ;2.247 US$;-0,5%;US$110,5 ;18,3%;1.453 US$;1.076 US$
932;F5 Networks;5.325;7 ;2.242 US$;3,7%;US$427,7 ;-5,7%;3.390 US$;6.484 US$
933;Affiliated Managers Group;4.000;-48 ;2.240 US$;-5,8%;US$15,7 ;-93,6%;7.654 US$;2.831 US$
934;OGE Energy;2.425;-21 ;2.232 US$;-1,7%;US$433,6 ;1,9%;11.024 US$;6.152 US$
935;Universal;28.000;41 ;2.227 US$;9,5%;US$104,1 ;-1,5%;2.133 US$;1.091 US$
936;BOK Financial;5.107;-;2.226 US$;20,7%;US$500,8 ;12,4%;42.172 US$;2.996 US$
937;ManTech International;8.900;62 ;2.223 US$;13,5%;US$113,9 ;38,7%;2.108 US$;2.920 US$
938;Summit Materials;6.000;21 ;2.222 US$;5,8%;US$59,1 ;74,2%;4.068 US$;1.700 US$
939;AMN Healthcare Services;3.236;11 ;2.222 US$;4,0%;US$114,0 ;-19,6%;1.932 US$;2.709 US$
940;Groupon;6.345;-107 ;2.219 US$;-15,8%;-US$22,4 ;-;1.587 US$;556 US$
941;Newmark Group;5.600;32 ;2.218 US$;8,3%;US$117,3 ;9,9%;3.202 US$;754 US$
942;Fossil Group;10.200;-95 ;2.218 US$;-12,7%;-US$52,4 ;-;1.605 US$;166 US$
943;Modine Manufacturing;12.200;15 ;2.213 US$;5,2%;US$84,8 ;282,0%;1.538 US$;165 US$
944;Griffon;7.300;2 ;2.209 US$;3,0%;US$37,3 ;-70,3%;2.075 US$;593 US$
945;Cypress Semiconductor;5.871;-84 ;2.205 US$;-11,2%;US$40,4 ;-88,6%;3.556 US$;8.713 US$
946;Generac Holdings;5.551;33 ;2.204 US$;8,9%;US$252,0 ;5,8%;2.666 US$;5.829 US$
947;Matson;1.988;-23 ;2.203 US$;-0,9%;US$82,7 ;-24,1%;2.845 US$;1.318 US$
948;Genesco;13.850;-167 ;2.197 US$;-24,5%;US$61,4 ;-;1.681 US$;196 US$
949;Nordson;7.579;-30 ;2.194 US$;-2,7%;US$337,1 ;-10,7%;3.516 US$;7.815 US$
950;NewMarket;2.118;-45 ;2.190 US$;-4,3%;US$254,3 ;8,3%;1.885 US$;4.284 US$
951;Echo Global Logistics;2.539;-80 ;2.185 US$;-10,4%;US$14,8 ;-48,3%;827 US$;458 US$
952;Rexnord;6.700;18 ;2.175 US$;5,3%;US$34,3 ;-54,8%;3.260 US$;2.761 US$
953;Incyte;1.456;-;2.159 US$;14,7%;US$446,9 ;308,2%;3.427 US$;15.875 US$
954;Fortinet;7.082;-;2.156 US$;19,7%;US$326,5 ;-1,7%;3.886 US$;17.453 US$
955;Foundation Building Materials;3.500;-53 ;2.155 US$;-6,9%;US$40,2 ;-;1.412 US$;445 US$
956;AAR;5.650;-;2.148 US$;16,4%;US$7,5 ;-51,9%;1.517 US$;623 US$
957;Centric Brands;3.250;-;2.147 US$;259,8%;-US$273,5 ;-;2.155 US$;66 US$
958;Edgewell Personal Care;6.000;-35 ;2.141 US$;-4,2%;-US$372,2 ;-460,3%;3.421 US$;1.308 US$
959;Federated Mutual Insurance;2.638;-;2.135 US$;11,0%;US$229,6 ;4,0%;8.825 US$;-
960;Schnitzer Steel Industries;3.363;-71 ;2.133 US$;-9,8%;US$56,3 ;-64,0%;1.161 US$;354 US$
961;Portland General Electric;2.949;31 ;2.123 US$;6,6%;US$214,0 ;0,9%;8.394 US$;4.289 US$
962;Gray Television;7.465;-;2.122 US$;95,7%;US$179,0 ;-15,1%;6.972 US$;1.072 US$
963;BGC Partners;5.200;-;2.104 US$;8,6%;US$55,7 ;-71,8%;3.916 US$;894 US$
964;EchoStar;2.300;-3 ;2.098 US$;0,3%;-US$62,9 ;-;7.154 US$;3.127 US$
965;Beazer Homes USA;1.205;-9 ;2.088 US$;-0,9%;-US$79,5 ;-;1.958 US$;202 US$
966;LHC Group;22.785;-;2.080 US$;14,9%;US$95,7 ;50,6%;2.140 US$;4.420 US$
967;ServiceMaster Global Holdings;12.000;-;2.077 US$;9,3%;US$128,0 ;-;5.322 US$;3.657 US$
